,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
201607   ,5.08   ,5.16   ,5.79   ,6.83   ,4.25   ,3.91
201608   ,1.17  ,-0.12  ,-0.82   ,3.08  ,-0.43  ,-3.12
201609   ,2.47   ,3.50   ,5.12  ,-0.14   ,1.66   ,2.82
201610  ,-0.30  ,-0.75  ,-1.89  ,-0.83  ,-1.94  ,-2.41
201611   ,0.16  ,-2.25  ,-4.22   ,0.00  ,-2.81  ,-4.08
201612   ,3.14   ,2.03   ,1.66   ,3.75   ,3.20   ,1.09
201701   ,3.74   ,4.70   ,6.37   ,1.90   ,3.43   ,5.01
201702   ,1.58   ,1.50   ,1.33   ,2.09   ,0.85  ,-0.76
201703   ,1.70   ,2.24   ,1.83   ,2.73   ,3.26   ,3.52
201704   ,1.43   ,2.38   ,1.60   ,3.14   ,2.82   ,2.78
201705   ,1.55   ,3.00   ,4.52   ,4.81   ,3.67   ,2.45
201706   ,1.39   ,2.18   ,1.67  ,-1.16   ,0.53   ,1.15
201707   ,2.98   ,3.72   ,4.04   ,2.26   ,3.28   ,4.28
201708  ,-0.25   ,0.57   ,1.65  ,-0.03   ,0.25   ,0.69
201709   ,1.97   ,1.80   ,3.24   ,2.04   ,2.23   ,2.48
